family,model,size_name,parameter_count,log10_params,K,n_small_patches,mse_global,mse_patch,mse_local,G,rel_mse_reduction,rel_mse_reduction_local,delta_local_vs_patch,mean_cos,median_cos,p_perm_G,p_perm_cos,null_G_mean,null_G_sd
vit,official_legacy_cross_vit_huge,huge,632000000,8.800717078282386,4,0,7.263840961968526e-05,7.26424332242459e-05,7.25641511962749e-05,-4.0236045606434345e-09,-5.5392244705107415e-05,0.0010223024402537546,7.828202797099948e-08,0.0015347425078424477,-0.0007174399270422471,0.15422885572139303,0.32338308457711445,-1.3520366337615996e-08,8.377959218989426e-09
vit,official_legacy_cross_vit_huge,huge,632000000,8.800717078282386,8,0,7.263840961968526e-05,7.262366125360131e-05,7.262345752678812e-05,1.4748366083949804e-08,0.00020303811938020386,0.00020584278999818397,2.0372681319713593e-10,0.012212081395189932,0.010514387128712313,0.004975124378109453,0.004975124378109453,-3.014385583810508e-08,1.5258572576661586e-08
vit,official_legacy_cross_vit_huge,huge,632000000,8.800717078282386,16,0,7.263840961968526e-05,7.263977749971673e-05,7.269886555150151e-05,-1.367880031466484e-09,-1.8831359863580822e-05,-0.0008322860058856013,-5.90880517847836e-08,0.01172924486202227,0.012867873711755625,0.004975124378109453,0.004975124378109453,-6.499241862911731e-08,1.9517961585263166e-08
vit,official_legacy_cross_vit_huge,huge,632000000,8.800717078282386,32,0,7.263840961968526e-05,7.266260217875242e-05,7.281979924300686e-05,-2.419255906715989e-08,-0.0003330546358851395,-0.002497158518080159,-1.5719706425443292e-07,0.012830568672755128,0.013503390424914267,0.004975124378109453,0.004975124378109453,-1.3264168956084176e-07,3.1080233426317263e-08
ijepa,official_legacy_cross_ijepa_huge,huge,630000000,8.799340549453582,4,0,0.02523391880095005,0.02522902749478817,0.025129109621047974,4.891306161880493e-06,0.00019383854725316533,0.004153503890094577,9.991787374019623e-05,-0.02590598455590195,-0.08252465480844814,0.14427860696517414,0.9353233830845771,-2.9945001006126405e-06,7.582546922009954e-06
ijepa,official_legacy_cross_ijepa_huge,huge,630000000,8.799340549453582,8,0,0.02523391880095005,0.025222333148121834,0.02520819939672947,1.1585652828216553e-05,0.0004591301461975203,0.0010192393985040773,1.4133751392364502e-05,0.015942808312619777,0.02751007767809246,0.004975124378109453,0.15920398009950248,-9.880783036351204e-06,9.376934745900525e-06
ijepa,official_legacy_cross_ijepa_huge,huge,630000000,8.799340549453582,16,0,0.02523391880095005,0.025178087875247,0.025540053844451904,5.5830925703048706e-05,0.0022125348878013623,-0.012131886684613095,-0.00036196596920490265,0.02615954811936924,0.029994423686308273,0.004975124378109453,0.04477611940298507,-2.4390127509832383e-05,2.144548035925436e-05
ijepa,official_legacy_cross_ijepa_huge,huge,630000000,8.799340549453582,32,0,0.02523391880095005,0.0251995287835598,0.026112688705325127,3.439001739025116e-05,0.0013628488567917713,-0.03482494777394587,-0.0009131599217653275,0.026880122219559505,0.04592710109118102,0.004975124378109453,0.004975124378109453,-4.660876467823982e-05,2.2267992806236895e-05
ijepa,official_legacy_cross_ijepa_giant,giant,1000000000,9.0,4,0,0.01817166991531849,0.018170440569519997,0.01791655458509922,1.2293457984924316e-06,6.765177907266016e-05,0.014039179195314888,0.00025388598442077637,-0.010592750535183515,-0.05860325754128032,0.22885572139303484,0.9104477611940298,-2.8331298381090166e-06,5.219547670478177e-06
ijepa,official_legacy_cross_ijepa_giant,giant,1000000000,9.0,8,0,0.01817166991531849,0.018160121515393257,0.01809792034327984,1.1548399925231934e-05,0.000635516712500747,0.004058491728186222,6.220117211341858e-05,0.018919218053447494,0.029424796512783527,0.01990049751243781,0.0845771144278607,-6.242683157324791e-06,8.036968684694114e-06
ijepa,official_legacy_cross_ijepa_giant,giant,1000000000,9.0,16,0,0.01817166991531849,0.01814420334994793,0.018088286742568016,2.7466565370559692e-05,0.0015115047487961315,0.004588635669646523,5.591660737991333e-05,0.015020731127996597,0.004109722346542083,0.004975124378109453,0.09950248756218906,-1.4598919078707694e-05,1.444933774643693e-05
