sample_id,A_B,A_B_A,A_B_B,gamma_fold_cosine,A_B_agree
695,1.8650879956407338,1.539027334795479,1.7805105664141134,0.9189112096074947,0.9272539616039205
696,3.2322320974294647,2.8645877708702963,2.523672317718492,0.9183057991663619,0.9367299559511256
698,2.3730336012082693,2.018592855544185,1.9909832199159694,0.9211917922115027,0.993114076124607
701,2.347244230181807,1.9911806950462982,1.8940616739350944,0.9188626759384844,0.9750030984201725
707,2.7876584564560156,2.4183725214618206,2.1722100538111353,0.8861077575921263,0.9463766387785654
708,2.7871039861947153,2.3891193426153268,2.273445735549636,0.923427530329675,0.9751909935568736
715,1.1360845458455042,0.9879582180831875,0.9950019433068084,0.8952616443291888,0.9964478735575386
717,2.8794204056342383,2.0223191024454863,2.920496939786422,0.9354840288872408,0.8182862097907719
734,2.54604174752959,1.7947671176276363,2.5469889388556823,0.9202079871188134,0.8267471015316965
737,2.0890143606813396,1.8638774997717034,1.9845003716298208,0.9115756560227553,0.9686561777744065
740,2.4285649123844375,2.2517211312774164,1.9671339057182438,0.9119126684572956,0.9325439667721237
758,1.645911775172198,1.3908278132800989,1.4395686101155858,0.8862424848450479,0.9827795158188436
760,1.0164492657839383,0.9026680042885705,0.9936387166664647,0.90219538560736,0.9520274271178669
762,2.5684190556274693,2.077846115855702,2.320685567189259,0.9098968574248938,0.9447907918295483
766,3.187428578307554,2.6023389590241064,2.6939200220417283,0.9289488463535521,0.9827083487901508
774,1.9790127472273042,1.8355099984945353,1.4322169596048204,0.9321956905998128,0.8765830058444397
778,3.0859033446189783,2.751673291262149,2.4490807131403316,0.9239984898381168,0.9418175560955834
782,2.5242343015702677,2.089262228168186,2.163180518964265,0.931398411179112,0.982617451852603
788,2.5012667752370157,2.09106604572719,2.1585921633185605,0.9081829829775214,0.9841102238651487
789,3.148114273685751,2.557275372158697,2.9263622899517077,0.9424870680168596,0.9326930514860157
799,2.8333793161420453,2.5217824890267355,2.2212051112649642,0.9214952153623104,0.9366269948200401
