estimator,target,cell,fixture,sampling,noise,condition,n,mean,sd,median_abs,iqr,cv,r_iqr,tol,analytic_constant,rank_target_degenerate,spearman,kendall_tau,pairwise_acc,rank_rmse,pearson,rank_band,pair_band,q_top_precision,q_top_recall,q_top_jaccard,q_p_high_above_low,q_roc_auc_top_bottom,q_chance_precision,q_chance_roc_auc,q_n_high,q_n_low
Q K_dir vs T2,K_dir_T2,F4_S2_N0,F4,S2,N0,smoothly non-uniform dense,64,0.0027144664674256377,0.0036529454266838643,0.0014753246534277543,0.0017425706664153007,1.3457323820995788,1.181143866324938,1e-06,False,False,0.17706043956043954,0.1121031746031746,0.5560515873015873,23.69928796398744,0.22909337976375171,weak,weak,0.25,0.25,0.14285714285714285,0.56640625,0.56640625,0.25,0.5,16,16
Q K_H vs T3,K_H_T3,F4_S2_N0,F4,S2,N0,smoothly non-uniform dense,64,0.001342961798803311,0.0015682356796810125,0.0010421282983819977,0.0008892343581754371,1.1677440712838556,0.8532868349345952,1e-06,False,False,0.16488095238095238,0.11309523809523808,0.5565476190476191,23.87401830442458,0.42097243627731534,weak,weak,0.3125,0.3125,0.18518518518518517,0.625,0.625,0.25,0.5,16,16
Q K_H vs pointwise,K_H_pw,F4_S2_N0,F4,S2,N0,smoothly non-uniform dense,64,0.0030326195722678163,0.0031867767993807084,0.0023266654056068375,0.001692993969470282,1.050833024844847,0.7276482319558405,1e-06,False,False,0.30173992673992667,0.21130952380952378,0.6056547619047619,21.830311495716227,0.45435469326621025,weak,weak,0.375,0.375,0.23076923076923078,0.69140625,0.69140625,0.25,0.5,16,16
Q K_H vs pointwise H_S2,H_S2_pw,F4_S2_N0,F4,S2,N0,smoothly non-uniform dense,64,0.0030326195722678168,0.003186776799380706,0.0023266654056068375,0.0016929939694702817,1.0508330248448459,0.7276482319558404,1e-06,False,False,0.30173992673992667,0.21130952380952378,0.6056547619047619,21.830311495716227,0.4543546932662102,weak,weak,0.375,0.375,0.23076923076923078,0.69140625,0.69140625,0.25,0.5,16,16
D-full,H_E_norm,F4_S0_N1,F4,S0,N1,low normal noise,64,16.024222815102963,0.025374051173762253,16.01860250815193,0.013528374358642736,0.0015834809255051933,0.0008445414855482712,0.0016024222815102965,False,True,-0.143040293040293,-0.10416666666666667,0.4479166666666667,27.93071785686863,-0.05453868508452688,degenerate_target,weak,0.1875,0.1875,0.10344827586206896,0.3671875,0.3671875,0.25,0.5,16,16
D-full residualized,H_S_from_HE,F4_S0_N1,F4,S0,N1,low normal noise,64,0.8119608019258446,0.344860152579405,0.7717600431796618,0.2872298005529075,0.424725124366873,0.3721750083991711,8.119608019258447e-05,False,False,-0.15062318963600407,-0.11656310103003922,0.3472222222222222,27.36215452043205,-0.10495827482016827,weak,weak,0.1875,0.1875,0.10344827586206896,0.375,0.375,0.25,0.5,16,16
D-residual,H_S_norm,F4_S0_N1,F4,S0,N1,low normal noise,64,0.8119608019258403,0.34486015257939956,0.7717600431795983,0.28722980055291913,0.42472512436686854,0.37217500839921686,8.119608019258403e-05,False,False,0.8024725274725273,0.7023809523809523,0.8511904761904762,11.610878519733122,0.6527345318800396,strong,strong,0.8125,0.8125,0.6842105263157895,0.92578125,0.92578125,0.25,0.5,16,16
D-residual Scal,Scal,F4_S0_N1,F4,S0,N1,low normal noise,64,240.49946218092725,0.6955025004606221,240.4262100078681,0.40077592371011406,0.002891908755859895,0.0016669394060530953,0.024049946218092727,False,False,0.8382783882783882,0.7291666666666666,0.8645833333333334,10.505950694725348,0.6953186519640354,strong,strong,0.8125,0.8125,0.6842105263157895,0.9375,0.9375,0.25,0.5,16,16
Q K_H vs T2,K_H_T2,F4_S0_N1,F4,S0,N1,low normal noise,64,0.0012195400743271725,0.0017320012466804108,0.0007546712092017134,0.0007169090820693983,1.4202085537990685,0.9499621456048101,1e-06,False,False,0.5189102564102563,0.35615079365079366,0.6780753968253969,18.120258000370747,0.31018390016963765,moderate,moderate,0.4375,0.4375,0.28,0.875,0.875,0.25,0.5,16,16
Q K_dir vs T2,K_dir_T2,F4_S0_N1,F4,S0,N1,low normal noise,64,0.0023118581578731915,0.0024336153250431695,0.0013578735578173792,0.0013905031005688817,1.052666365236405,1.0240298822667413,1e-06,False,False,0.232051282051282,0.1617063492063492,0.5808531746031746,22.89377644688617,0.45240056864146333,weak,weak,0.4375,0.4375,0.28,0.671875,0.671875,0.25,0.5,16,16
