cell,fixture,sampling,noise,anchor_i,sample_id,K_H_T2,K_dir_T2,K_H_T3,K_dir_T3,K_H_pw,K_dir_pw,q_n_eff,q_design_cond,radius_lat,s_x,rms_eps
F0_S0_N0,F0,S0,N0,39,100065,3.145115973126032e-33,1.7798625669095988e-32,2.0882983552897584e-32,4.040542761003814e-32,2.586768781861969e-31,2.759728760618735e-31,1024,129.00756404920057,1.1630817222015226,0.9998950659548889,0.0
F0_S0_N0,F0,S0,N0,40,100092,2.1075480366278707e-32,5.07281776853422e-32,2.979900391623956e-32,5.635551231824127e-32,2.232860300830656e-31,2.5237293064556092e-31,1024,307.5054949367914,1.4283941025282896,0.9998950659548889,0.0
F0_S0_N0,F0,S0,N0,41,100238,6.799464239249979e-33,1.6268036171745348e-32,2.6539546770003873e-32,4.870006729619943e-32,3.773194528867043e-31,3.8726065679753663e-31,1024,80.86945572791309,0.9693999935457511,0.9998950659548889,0.0
F0_S0_N0,F0,S0,N0,42,100112,6.202883300802154e-33,1.4969001201450164e-32,1.9486436184836742e-32,3.847020079222179e-32,2.061634473576842e-31,2.136394259696726e-31,1024,73.59400715542805,0.9300492913518561,0.9998950659548889,0.0
F0_S0_N0,F0,S0,N0,43,100071,4.2138249717467056e-33,1.293347952325501e-32,1.688832101855133e-32,3.8740385751910017e-32,2.305704000743628e-31,2.391926848680313e-31,1024,66.6186099930367,0.9164274548675801,0.9998950659548889,0.0
F0_S0_N0,F0,S0,N0,44,100045,5.8410346087608115e-33,1.7968252076137273e-32,3.195132475713381e-32,6.354367854641113e-32,4.1261199102611125e-31,4.290476455388915e-31,1024,117.00400055193647,1.1025380369613866,0.9998950659548889,0.0
F0_S0_N0,F0,S0,N0,45,100215,4.355420185474413e-33,1.2938592053268258e-32,1.90954625890716e-32,3.5888136699598055e-32,8.351880418055304e-32,8.983158643483219e-32,1024,70.66880664503616,0.924715077264355,0.9998950659548889,0.0
F0_S0_N0,F0,S0,N0,46,100072,7.489743702462279e-33,2.0925780101987046e-32,1.4638381504793744e-32,4.733337442490334e-32,1.9273201009023019e-31,2.072041683426581e-31,1024,138.22768515068566,1.1514238538814578,0.9998950659548889,0.0
F0_S0_N0,F0,S0,N0,47,100120,1.3845866320451046e-32,3.295402555540171e-32,6.084422876989211e-32,9.23774236313108e-32,4.629971249028821e-31,4.9797250406727695e-31,1024,200.45742315403035,1.2986505110426954,0.9998950659548889,0.0
F0_S0_N0,F0,S0,N0,48,100037,4.3880886514318264e-33,1.5059813136256323e-32,1.6830913813276177e-32,3.566357297950955e-32,1.8728161396264276e-31,1.9930801716002795e-31,1024,100.15404729821564,1.0439589265801736,0.9998950659548889,0.0
F0_S0_N0,F0,S0,N0,49,100026,9.033706075662914e-33,2.5431589655472637e-32,3.703072995164747e-32,7.237382252111477e-32,1.6269353798638106e-31,1.8511775985046233e-31,1024,168.62931183767753,1.2137537617924097,0.9998950659548889,0.0
F0_S0_N0,F0,S0,N0,50,100021,1.4551847962123764e-32,3.1489779700002153e-32,6.550967470541089e-32,9.772832554618588e-32,1.3395227284038906e-31,1.543398802664577e-31,1024,165.5101781476912,1.2493355258859857,0.9998950659548889,0.0
F0_S0_N0,F0,S0,N0,51,100033,5.028364704168249e-33,1.8040958007448052e-32,1.4936187557272474e-32,4.221832005543325e-32,1.818822280336175e-31,1.944373420386184e-31,1024,122.08701905961153,1.086098647445619,0.9998950659548889,0.0
F0_S0_N0,F0,S0,N0,52,100223,6.197038685487498e-33,1.8713640808264675e-32,2.670505803316189e-32,6.044435757018056e-32,3.1884495601639704e-31,3.315474486347091e-31,1024,124.16042386363318,1.138995917041917,0.9998950659548889,0.0
F0_S0_N0,F0,S0,N0,53,100036,1.6604713012073762e-32,4.639207683206173e-32,6.461460872978334e-32,1.089347040317727e-31,1.1172479532779194e-31,1.38583941762609e-31,1024,351.2601982760319,1.461629485861422,0.9998950659548889,0.0
F0_S0_N0,F0,S0,N0,54,100217,1.9817541507192884e-33,1.1284465078710645e-32,1.9605890689968034e-32,4.86467069718525e-32,7.280079391061101e-32,8.027670602521872e-32,1024,82.564674836141,0.9390159621538494,0.9998950659548889,0.0
F0_S0_N0,F0,S0,N0,55,100023,1.5750093314038446e-32,4.753555705717582e-32,1.9923327205790846e-32,5.704359282405721e-32,2.306829178898974e-31,2.6067062248837433e-31,1024,327.64438669911607,1.4632298970001147,0.9998950659548889,0.0
F0_S0_N0,F0,S0,N0,56,100060,1.1833608850632395e-32,3.6715670439414645e-32,1.679840599340555e-32,4.038807349227744e-32,1.7917047087743344e-31,2.0964763840723428e-31,1024,284.5190246608879,1.3937921628196546,0.9998950659548889,0.0
F0_S0_N0,F0,S0,N0,57,100246,6.329523457825912e-33,1.5560563846636597e-32,2.895593088057494e-32,5.547979219247447e-32,2.4363840853137437e-31,2.5339468487595426e-31,1024,74.82444062705733,0.9445750845877574,0.9998950659548889,0.0
F0_S0_N0,F0,S0,N0,58,100241,1.3446294511445786e-33,9.968030754894729e-33,5.067814543270474e-33,2.469189580557307e-32,1.0732890404345396e-31,1.1782960434895182e-31,1024,73.1635978264987,0.9541182514301805,0.9998950659548889,0.0
F0_S0_N0,F0,S0,N0,59,100039,8.437575547903644e-33,2.2872540182335137e-32,2.4334389921887727e-32,4.257824477729395e-32,1.8565015168763326e-31,2.049924117365477e-31,1024,131.0189269310212,1.1370303366222028,0.9998950659548889,0.0
F0_S0_N0,F0,S0,N0,60,100180,2.614129776645258e-33,1.1811318088392739e-32,9.318011462868589e-33,2.3515058971182335e-32,2.7658140045902545e-31,2.858215196977557e-31,1024,70.54403812195132,0.9139359496566037,0.9998950659548889,0.0
F0_S0_N0,F0,S0,N0,61,100198,7.484816344916814e-32,1.4415667598940338e-31,1.0462860773631748e-31,1.7154076729740142e-31,5.662895264167045e-31,6.15007713677533e-31,1024,809.0816112203214,1.815235771425461,0.9998950659548889,0.0
F0_S0_N0,F0,S0,N0,62,100159,2.2866460951303204e-32,4.619156158669094e-32,3.6251075202583047e-32,6.160940954093977e-32,3.153988910324456e-31,3.467562716472408e-31,1024,244.00210467213543,1.3574333401627001,0.9998950659548889,0.0
F0_S0_N0,F0,S0,N0,63,100086,4.5816667121761945e-33,1.3552988753312273e-32,2.0060412896565763e-32,4.109147013682512e-32,1.8871004050853306e-31,2.0027222985380717e-31,1024,82.71318596107267,0.9680799030330038,0.9998950659548889,0.0
F1_S0_N0,F1,S0,N0,0,100244,0.238220727854596,0.24232622209962645,0.3254638697947403,0.3317967374585855,0.5624999999999998,0.5624999999999998,1024,58.928329868847555,0.8550893433867482,0.7999234138894432,0.0
F1_S0_N0,F1,S0,N0,1,100047,0.018973743616968807,0.0501193999980167,0.2968844949722385,0.3120136721842317,0.562499999999999,0.562499999999999,1024,455.9707213920627,1.5294123103472845,0.7999234138894432,0.0
