shape,intrinsic_dimension,snr_db,observed_support_dimension,method,mean,std,absolute_relative_error_percent
linear,20,10.0,256,renyi_eff_dimensionality_alpha_3,22.73207651606402,0.0071723942542025135,13.660382580320096
linear,20,10.0,256,renyi_eff_dimensionality_alpha_4,22.38161137939489,0.008410533382302127,11.90805689697445
linear,20,10.0,256,renyi_eff_dimensionality_alpha_5,22.19760575099206,0.009899303010947538,10.9880287549603
linear,20,10.0,256,geometric_mean_eff_dimensionality,7.622776385031811,0.007854232067333893,61.886118074840944
linear,20,10.0,256,mle_dimensionality,24.702476630597197,0.09167241098020021,23.512383152985983
linear,20,10.0,256,two_nn_dimensionality,25.249891921032813,0.2421777370678626,26.24945960516407
linear,20,10.0,256,danco_dimensionality,6.772492472445634,0.05961752920807608,66.13753763777183
linear,20,10.0,256,mind_mli_dimensionality,2.5106105431046486,0.13804819813233282,87.44694728447675
linear,20,10.0,256,mind_mlk_dimensionality,22.93087587726531,0.09760370726899181,14.654379386326566
linear,20,10.0,256,ess_dimensionality,0.24060929153654223,0.0009814414047768767,98.79695354231728
linear,20,10.0,256,tle_dimensionality,24.702476630597197,0.09167241098020183,23.512383152985983
linear,20,10.0,256,isomap_dimensionality,20.0,0.0,0.0
sphere,2,,2,pca_explained_variance_95,3.0,0.0,50.0
sphere,2,,2,participation_ratio,2.9995425419959707,0.00029465243632762633,49.97712709979854
sphere,2,,2,shannon_entropy,2.9997714371171385,0.00014703358658996093,49.988571855856925
sphere,2,,2,renyi_eff_dimensionality_alpha_2,2.999542541995975,0.0002946524363281605,49.97712709979876
sphere,2,,2,renyi_eff_dimensionality_alpha_3,2.9993133502198988,0.0004428149501137796,49.96566751099494
sphere,2,,2,renyi_eff_dimensionality_alpha_4,2.9990838977853604,0.0005914787170492227,49.954194889268024
sphere,2,,2,renyi_eff_dimensionality_alpha_5,2.9988542210654976,0.0007406005736440708,49.94271105327488
sphere,2,,2,geometric_mean_eff_dimensionality,864097480984370.9,38796961943994.93,4.320487404921844e+16
sphere,2,,2,mle_dimensionality,2.2452566603239967,0.006958208448363678,12.262833016199837
sphere,2,,2,two_nn_dimensionality,1.5735559324968105,0.2817424065533254,21.322203375159475
sphere,2,,2,danco_dimensionality,2.0004158224048574,0.003697988797670385,0.020791120242869
