dataset,method,scheme,full_value,iterations,mean,std,median,q025,q975,min,max,cv,median_ratio_to_full
jwst_dinov3_vitl16,geometric_mean_eff_dimensionality,bootstrap_deduplicated,29.82163642915461,100,1095.706494788652,421.5375388927678,1013.2466398241158,602.5099538638167,2022.225112793185,446.3679357348446,3481.5804518413847,0.3847175688906335,33.97689601076126
jwst_dinov3_vitl16,geometric_mean_eff_dimensionality,sparse_10pct,29.82163642915461,25,3658202374985.591,153651744888.34467,3684428941092.3296,3367243542024.863,3874083008517.6055,3350509510590.4688,3904075733657.0073,0.04200198051890169,123548851849.40123
jwst_dinov3_vitl16,geometric_mean_eff_dimensionality,contiguous_region,29.82163642915461,12,9762291850246.637,308917858140.28577,9715633704755.902,9405417858359.951,10305972636206.736,9390228856839.693,10346820161434.328,0.03164398922702574,325791434277.48254
jwst_dinov3_vitl16,mle_dimensionality,bootstrap_deduplicated,12.560142496170418,100,13.305103887867103,0.2715533885941935,13.306514664819082,12.764585557241874,13.77227362022024,12.467867119308728,13.980737377082496,0.020409715766430237,1.059423861542672
jwst_dinov3_vitl16,mle_dimensionality,sparse_10pct,12.560142496170418,25,11.776529538992762,0.594927364155775,11.811579640936953,10.704269230073143,12.649341271556581,10.693900896351089,12.78361454375278,0.0505180547618835,0.9404017227143959
jwst_dinov3_vitl16,mle_dimensionality,contiguous_region,12.560142496170418,12,9.927268823588681,0.8315492906958766,10.203469829323883,8.788261517804273,10.841420814944804,8.73757086118214,10.84682968153898,0.08376415562757711,0.8123689546065991
jwst_dinov3_vitl16,two_nn_dimensionality,bootstrap_deduplicated,0.1147285810930775,100,0.13388262258763112,0.004646896906900335,0.13392363780203936,0.12620230224190818,0.14453273475009562,0.12400241911779208,0.14892784562366035,0.034708738274519306,1.167308411958736
jwst_dinov3_vitl16,two_nn_dimensionality,sparse_10pct,0.1147285810930775,25,2.118864657085918,3.6339992323789914,0.24883640557624503,0.17374018353487572,10.716997594242766,0.17249671102765368,12.228387362138246,1.7150690678737561,2.1689138243099855
jwst_dinov3_vitl16,two_nn_dimensionality,contiguous_region,0.1147285810930775,12,5.175704747321638,0.8091025962232905,5.049101226271228,4.052827504490251,6.4304902822253185,4.006027957955275,6.55590685760716,0.15632703867854728,44.009096758330614
jwst_dinov3_vitl16,danco_dimensionality,bootstrap_deduplicated,4.533388128751588,100,4.504662540135507,0.04719921342548534,4.500803657084513,4.42099189431517,4.59846818393384,4.404073570534298,4.633276937332789,0.010477857776237666,0.9928123357758809
jwst_dinov3_vitl16,danco_dimensionality,sparse_10pct,4.533388128751588,25,4.263186605135088,0.12118477682602578,4.265236825976977,4.052998678530485,4.479231273083654,3.998785797143598,4.479331374853757,0.028425867326580652,0.9408496922921854
jwst_dinov3_vitl16,danco_dimensionality,contiguous_region,4.533388128751588,12,4.275615795859481,0.14523383719570399,4.272048440503531,4.014958194512288,4.461391048544322,4.009514583917882,4.463079993235393,0.033967934475391565,0.9423522361585165
jwst_dinov3_vitl16,mind_mli_dimensionality,bootstrap_deduplicated,0.20091200661946018,100,0.29383009120657894,0.024184986159091242,0.2932581659052604,0.2557230324525352,0.35188392708366806,0.24817752375021035,0.37650317927284016,0.08230942603522472,1.459634846317122
jwst_dinov3_vitl16,mind_mli_dimensionality,sparse_10pct,0.20091200661946018,25,1.0821970948057669,0.38878913063651854,1.0394110451850487,0.6186557753015907,2.014009981095799,0.6003263004235543,2.0202349552084793,0.35925907813151037,5.173464058590374
jwst_dinov3_vitl16,mind_mli_dimensionality,contiguous_region,0.20091200661946018,12,1.5311600336925597,0.246913208188121,1.439595886263911,1.2348829033293054,1.9727032576533523,1.2065264012922288,2.0538760894413097,0.16125891660890782,7.165305401536281
jwst_dinov3_vitl16,mind_mlk_dimensionality,bootstrap_deduplicated,11.464358991687806,100,12.053727933481433,0.2937702512288715,12.043114566922537,11.503056805896238,12.656644436618643,11.439874155673461,12.870686293524702,0.024371734027020052,1.0504830296795795
jwst_dinov3_vitl16,mind_mlk_dimensionality,sparse_10pct,11.464358991687806,25,10.650105389895533,0.5382184394313635,10.650393973590333,9.64060350874799,11.609334572699147,9.550094197971617,12.221955279584424,0.05053644257286011,0.9290003899312961
