family,model,pair,size_label,size_order,parameter_count,log10_parameter_count,approx_params_m,reference_model,comparison_mode,representation,Z,hidden,n_trainable,input_dim_a,input_dim_b,n,n_common_ids,metric,k_or_keff,score,seed_std,seed_best,seed_worst,null_score,bootstrap_low,bootstrap_high
convnext,ConvNeXtv2 Large,official_legacy_cross_convnext_large,large,3,198000000.0,8.296665190261532,198.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,unpaired_dense,256,512,5258240,1536,1536,16384,16384,top10,-1,0.002600554785020804,0.0001733703190013871,0.0027739251040221915,0.0024271844660194173,,,
convnext,ConvNeXtv2 Large,official_legacy_cross_convnext_large,large,3,198000000.0,8.296665190261532,198.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,unpaired_dense,256,512,5258240,1536,1536,16384,16384,mrr,-1,0.0025239785582752885,4.428405547202228e-05,0.0025682626137473108,0.002479694502803266,,,
convnext,ConvNeXtv2 Large,official_legacy_cross_convnext_large,large,3,198000000.0,8.296665190261532,198.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,unpaired_dense,256,512,5258240,1536,1536,16384,16384,median_rank,-1,1500.5,8.5,1509.0,1492.0,,,
convnext,ConvNeXtv2 Large,official_legacy_cross_convnext_large,large,3,198000000.0,8.296665190261532,198.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,unpaired_sae_shared,256,512,6309888,2048,2048,16384,16384,mknn,10,0.023023578363384187,0.00031206657420249605,0.023335644937586685,0.022711511789181692,,,
convnext,ConvNeXtv2 Large,official_legacy_cross_convnext_large,large,3,198000000.0,8.296665190261532,198.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,unpaired_sae_shared,256,512,6309888,2048,2048,16384,16384,mknn,100,0.1035870319001387,0.00045249653259361866,0.10403952843273231,0.10313453536754508,,,
convnext,ConvNeXtv2 Large,official_legacy_cross_convnext_large,large,3,198000000.0,8.296665190261532,198.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,unpaired_sae_shared,256,512,6309888,2048,2048,16384,16384,mknn,5,0.016123439667128987,0.00017337031900138689,0.016296809986130374,0.0159500693481276,,,
convnext,ConvNeXtv2 Large,official_legacy_cross_convnext_large,large,3,198000000.0,8.296665190261532,198.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,unpaired_sae_shared,256,512,6309888,2048,2048,16384,16384,mknn,20,0.03721393897364771,9.535367545076417e-05,0.03730929264909848,0.03711858529819695,,,
convnext,ConvNeXtv2 Large,official_legacy_cross_convnext_large,large,3,198000000.0,8.296665190261532,198.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,unpaired_sae_shared,256,512,6309888,2048,2048,16384,16384,mknn,50,0.0671116504854369,1.7337031900141464e-05,0.06712898751733704,0.06709431345353675,,,
convnext,ConvNeXtv2 Large,official_legacy_cross_convnext_large,large,3,198000000.0,8.296665190261532,198.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,unpaired_sae_shared,256,512,6309888,2048,2048,16384,16384,cka,-1,0.3144058087344811,0.0004554285096531885,0.3148612372441343,0.3139503802248279,,,
convnext,ConvNeXtv2 Large,official_legacy_cross_convnext_large,large,3,198000000.0,8.296665190261532,198.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,unpaired_sae_shared,256,512,6309888,2048,2048,16384,16384,distance_spearman,-1,0.24946139460415576,0.006225042052007884,0.25568643665616364,0.24323635255214787,,,
