dataset_id,ok,d,lin_nmse,quad_nmse,quadN_nmse,lin_r2,quad_r2,lam,df,df_frac,n_tr,n_te,m_d,energy,test_sse_lin,sample_id,k,stage
physics_vit_base,,,,,,,,,,,,,,,,,,
desi_vit_base_hsc,1.0,19.0,0.1332558265563747,0.0972052426237662,0.0972052426237662,0.8667441734436253,0.9027947573762338,122.41298213332016,148.5004245049662,0.7815811816050852,1024.0,1024.0,190.0,220.34308323904744,29.36199968299934,19026.0,2048.0,fine_closest
desi_vit_base_hsc,1.0,32.0,0.0967265829142318,0.0765977402045814,0.0765977402045814,0.903273417085768,0.9234022597954186,1260.6653270169495,153.09517533667366,0.2899529835921849,1024.0,1024.0,528.0,220.34308323904744,21.31303351049922,19026.0,2048.0,fine_closest
desi_vit_base_hsc,1.0,33.0,0.0949641791878745,0.0752433979860337,0.0752433979860337,0.9050358208121254,0.9247566020139664,1294.7827367909435,158.8294232895267,0.2831184015856091,1024.0,1024.0,561.0,220.34308323904744,20.924700039521667,19026.0,2048.0,fine_closest
desi_vit_base_hsc,1.0,34.0,0.0931228652200199,0.074007336843239,0.074007336843239,0.90687713477998,0.925992663156761,1331.1116870894882,164.35805353895427,0.276232022754545,1024.0,1024.0,595.0,220.34308323904744,20.51897924263345,19026.0,2048.0,fine_closest
desi_vit_base_hsc,1.0,35.0,0.091223493008844,0.0727767971124448,0.0727767971124448,0.908776506991156,0.9272232028875552,1367.4424962760593,169.16068688640192,0.2685090268038125,1024.0,1024.0,630.0,220.34308323904744,20.100465713404382,19026.0,2048.0,fine_closest
desi_vit_base_hsc,1.0,36.0,0.0895430778935911,0.0714581206398212,0.0714581206398212,0.9104569221064088,0.9285418793601788,1400.5676639199244,174.63483443930977,0.2622144661250897,1024.0,1024.0,666.0,220.34308323904744,19.730197865788057,19026.0,2048.0,fine_closest
desi_vit_base_hsc,1.0,37.0,0.0880009623269155,0.0702650969880261,0.0702650969880261,0.9119990376730844,0.9297349030119738,1433.1836807649463,179.99404105191252,0.2560370427480974,1024.0,1024.0,703.0,220.34308323904744,19.39040336711584,19026.0,2048.0,fine_closest
desi_vit_base_hsc,1.0,38.0,0.0864458624912174,0.0693132719367911,0.0693132719367911,0.9135541375087826,0.9306867280632088,1483.733105689067,183.50126662042925,0.2476400359250057,1024.0,1024.0,741.0,220.34308323904744,19.04774787457357,19026.0,2048.0,fine_closest
desi_vit_base_hsc,1.0,9.0,0.2667968818505628,0.2133708304592831,0.2133708304592831,0.7332031181494372,0.7866291695407169,65.48549536630314,40.40934616145471,0.897985470254549,1024.0,1024.0,45.0,319.41193951859225,85.21810948940096,4484.0,2048.0,fine_closest
desi_vit_base_hsc,1.0,10.0,0.2507900452590175,0.2000343966989289,0.2000343966989289,0.7492099547409825,0.799965603301071,71.66295148316036,48.801233805007485,0.8872951600910451,1024.0,1024.0,55.0,319.41193951859225,80.10533476813832,4484.0,2048.0,fine_closest
desi_vit_base_hsc,1.0,11.0,0.2364257548690999,0.1868474952916114,0.1868474952916114,0.7635742451309001,0.8131525047083885,77.19369096078279,57.95205174580816,0.8780613900880023,1024.0,1024.0,66.0,319.41193951859225,75.51720891488645,4484.0,2048.0,fine_closest
desi_vit_base_hsc,1.0,12.0,0.2250457509287059,0.1751462657894139,0.1751462657894139,0.7749542490712941,0.824853734210586,82.34492438911997,67.79082007104265,0.86911307783388,1024.0,1024.0,78.0,319.41193951859225,71.88229978455598,4484.0,2048.0,fine_closest
desi_vit_base_hsc,1.0,13.0,0.2154798469391911,0.1640834097774134,0.1640834097774134,0.7845201530608088,0.8359165902225866,86.60325596598312,78.55025339611214,0.863189597759474,1024.0,1024.0,91.0,319.41193951859225,68.82683583801644,4484.0,2048.0,fine_closest
desi_vit_base_hsc,1.0,15.0,0.1978430796424879,0.1469887062778564,0.1469887062778564,0.8021569203575121,0.8530112937221436,97.55584964032344,101.13893869599012,0.842824489133251,1024.0,1024.0,120.0,319.41193951859225,63.1934417889384,4484.0,2048.0,fine_closest
desi_vit_base_hsc,1.0,16.0,0.1910368695289218,0.1492089391340995,0.1492089391340995,0.8089631304710782,0.8507910608659005,654.2356972279075,66.13857047921312,0.4863130182295082,1024.0,1024.0,136.0,319.41193951859225,61.01945701579319,4484.0,2048.0,fine_closest
desi_vit_base_hsc,1.0,17.0,0.1839541325797624,0.1422407114982098,0.1422407114982098,0.8160458674202375,0.8577592885017902,690.2727589728851,72.32909423439216,0.4727391780025631,1024.0,1024.0,153.0,319.41193951859225,58.75714626976219,4484.0,2048.0,fine_closest
