sample_id,d,K_H_old,K_H_new,K_H_abs_diff,R_H_old,R_H_new,dS_old,dS_new,H_S_cosine,H_S_note,ridge_penalty,whitening
1339,16,0.017890760326608173,0.017890760326608173,0.0,0.4603444654925464,0.4603444654925464,0.0046481274936923,0.0046481274936923,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
1344,16,0.03719040359421746,0.03719040359421746,0.0,0.6147988043938108,0.6147988043938108,0.004065450090911327,0.004065450090911327,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
1345,16,0.03346659768410047,0.03346659768410047,0.0,0.5558311299723636,0.5558311299723636,0.006213951098106918,0.006213951098106918,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
1346,16,0.023037326563999424,0.023037326563999424,0.0,0.48802109568380797,0.48802109568380797,0.004321485195214336,0.004321485195214336,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
1347,16,0.040839781475209135,0.040839781475209135,0.0,0.6466751750962406,0.6466751750962406,0.0046035877538088245,0.0046035877538088245,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
1351,16,0.019569313945597043,0.019569313945597043,0.0,0.42751937114345073,0.42751937114345073,0.007087778172535764,0.007087778172535764,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
1356,16,0.022064511883849662,0.022064511883849662,0.0,0.5118034341059048,0.5118034341059048,0.004466319241100791,0.004466319241100791,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
1361,16,0.015114190985001497,0.015114190985001497,0.0,0.4474177721623551,0.4474177721623551,0.0032492428217665292,0.0032492428217665292,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
1368,16,0.03893373815033357,0.03893373815033357,0.0,0.5411973605131962,0.5411973605131962,0.009668263842286251,0.009668263842286251,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
1373,16,0.0183464156961095,0.0183464156961095,0.0,0.4760112097573492,0.4760112097573492,0.0032984524787934787,0.0032984524787934787,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
1379,16,0.03561686482508353,0.03561686482508353,0.0,0.5435638389325456,0.5435638389325456,0.008454911956869182,0.008454911956869182,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
1397,16,0.0145991572152249,0.0145991572152249,0.0,0.41076652094885746,0.41076652094885746,0.004535521556772437,0.004535521556772437,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
1403,16,0.01655926955028688,0.01655926955028688,0.0,0.4730929988149006,0.4730929988149006,0.0035062945025856607,0.0035062945025856607,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
1409,16,0.026809779195065397,0.026809779195065397,0.0,0.49409060634371366,0.49409060634371366,0.005244383669742092,0.005244383669742092,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
1419,16,0.03724134729898358,0.03724134729898358,0.0,0.543628741204356,0.543628741204356,0.008002144787042198,0.008002144787042198,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
1429,16,0.019277460090966935,0.019277460090966935,0.0,0.49528624538929494,0.49528624538929494,0.0037590280517633802,0.0037590280517633802,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
1430,16,0.02204917492513074,0.02204917492513074,0.0,0.4993175457433662,0.4993175457433662,0.004484498162810269,0.004484498162810269,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
1432,16,0.02165042741262217,0.02165042741262217,0.0,0.5568521939187387,0.5568521939187387,0.0036365731139085256,0.0036365731139085256,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
1434,16,0.03414324235341166,0.03414324235341166,0.0,0.5266922460302875,0.5266922460302875,0.007414075261567632,0.007414075261567632,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
1436,16,0.01917533919786812,0.01917533919786812,0.0,0.49478674800151373,0.49478674800151373,0.004885986413592036,0.004885986413592036,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
1446,16,0.014147288483503223,0.014147288483503223,0.0,0.4369003760439977,0.4369003760439977,0.0030844632316529897,0.0030844632316529897,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
1452,16,0.01881838252329306,0.01881838252329306,0.0,0.4352752775887452,0.4352752775887452,0.004297287571216657,0.004297287571216657,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
1461,16,0.02328245681202899,0.02328245681202899,0.0,0.5032915616248906,0.5032915616248906,0.0049956042534176955,0.0049956042534176955,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
1469,16,0.040852529403993504,0.040852529403993504,0.0,0.49433397088175707,0.49433397088175707,0.008635020643396274,0.008635020643396274,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
1474,16,0.02754549737901347,0.02754549737901347,0.0,0.5397758686171837,0.5397758686171837,0.0052430545041715956,0.0052430545041715956,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
1480,16,0.02063672863900832,0.02063672863900832,0.0,0.4834240923270432,0.4834240923270432,0.003911686410719995,0.003911686410719995,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
