scheme,replicate,outcome,controlled,raw,n,estimator
object_support,12,r2_P,-0.165624445674689,-0.001773840995182019,512,K_H
object_support,12,mse_P,0.1816558912978794,0.23882658987651778,512,K_H
object_support,12,delta_adapt,0.19992198318284293,0.12439480193062565,512,K_H
object_support,13,r2_G,-0.23121561394925672,-0.37689364678820336,512,K_H
object_support,13,mse_G,0.2048413520959934,0.3236449785994667,512,K_H
object_support,13,r2_P,-0.16223733920989686,0.001910902398690791,512,K_H
object_support,13,mse_P,0.17322513976150422,0.27894999699591444,512,K_H
object_support,13,delta_adapt,0.12380167384786166,0.05154474370858653,512,K_H
object_support,14,r2_G,-0.18027320727618132,-0.3727703605474874,512,K_H
object_support,14,mse_G,0.14714797839347227,0.33924709032856115,512,K_H
object_support,14,r2_P,-0.041739533622869966,0.08236988017990181,512,K_H
object_support,14,mse_P,0.06721864950618556,0.2907692855140133,512,K_H
object_support,14,delta_adapt,0.16011570378572,0.07352311643835616,512,K_H
object_support,15,r2_G,-0.1159224759959259,-0.3151172201336675,512,K_H
object_support,15,mse_G,0.08855132265595494,0.2817912718439935,512,K_H
object_support,15,r2_P,-0.04411097306622721,0.06302312216042388,512,K_H
object_support,15,mse_P,0.06367195099621198,0.2403206754042641,512,K_H
object_support,15,delta_adapt,0.026271979892654007,0.04680812333344777,512,K_H
object_support,16,r2_G,-0.2811329658335336,-0.4112972213639121,512,K_H
object_support,16,mse_G,0.2876194660452501,0.3616284217965004,512,K_H
object_support,16,r2_P,-0.21269372775546172,-0.015018907857543404,512,K_H
object_support,16,mse_P,0.24547196687494993,0.31106528092491503,512,K_H
object_support,16,delta_adapt,0.20479056874492166,0.0753526581865623,512,K_H
object_support,17,r2_G,-0.21965033159382472,-0.3843918800997928,512,K_H
object_support,17,mse_G,0.20454809612501573,0.31957936007255583,512,K_H
object_support,17,r2_P,-0.14359260737460086,0.011273456901385885,512,K_H
object_support,17,mse_P,0.16989382345704446,0.27305349561117404,512,K_H
object_support,17,delta_adapt,0.11736059254872341,0.060598664183289276,512,K_H
object_support,18,r2_G,-0.2623638684324968,-0.40027946936404935,512,K_H
object_support,18,mse_G,0.22507726579576798,0.35012143300603105,512,K_H
object_support,18,r2_P,-0.16624609468877674,0.015585481969764593,512,K_H
object_support,18,mse_P,0.18661164898547739,0.3016489032226685,512,K_H
object_support,18,delta_adapt,0.17489991745917305,0.06645922383012325,512,K_H
object_support,19,r2_G,-0.20059620369416692,-0.3755864225346471,512,K_H
object_support,19,mse_G,0.20212095592863435,0.33187277554617134,512,K_H
object_support,19,r2_P,-0.159860088291505,0.014481569935111752,512,K_H
object_support,19,mse_P,0.18740504943866512,0.2844566825167943,512,K_H
object_support,19,delta_adapt,0.0961797330083199,0.04631566787974502,512,K_H
object_support,20,r2_G,-0.21772878972545517,-0.4014248663897186,512,K_H
object_support,20,mse_G,0.21869367339581833,0.3272068763518385,512,K_H
object_support,20,r2_P,-0.1294922702017601,0.019503220808871492,512,K_H
object_support,20,mse_P,0.16949667619390943,0.2754134909190785,512,K_H
object_support,20,delta_adapt,0.1300559832801181,0.07773285954612559,512,K_H
object_support,21,r2_G,-0.15525883058101875,-0.34664062768221926,512,K_H
object_support,21,mse_G,0.12505802534303795,0.3217097574129387,512,K_H
object_support,21,r2_P,-0.09001232747965805,0.06829511349721336,512,K_H
object_support,21,mse_P,0.09752978336251587,0.27782114032226685,512,K_H
object_support,21,delta_adapt,0.08445378572000778,0.06027661905906318,512,K_H
object_support,22,r2_G,-0.2748580033130772,-0.4269933001739509,512,K_H
object_support,22,mse_G,0.2604790729678077,0.3493297312916996,512,K_H
object_support,22,r2_P,-0.1901514631327176,-0.018587779379956742,512,K_H
object_support,22,mse_P,0.22165859855117243,0.2980394407823211,512,K_H
object_support,22,delta_adapt,0.19893295953925913,0.08959264957485036,512,K_H
object_support,23,r2_G,-0.1851754099861526,-0.35172227085979785,512,K_H
object_support,23,mse_G,0.2042189878234399,0.33906067609091217,512,K_H
object_support,23,r2_P,-0.14131540323411268,0.01109312236069626,512,K_H
object_support,23,mse_P,0.15760085501997,0.2907034817351598,512,K_H
object_support,23,delta_adapt,0.11310999030109521,0.04123670692141312,512,K_H
object_support,24,r2_G,-0.21833738527254207,-0.37344797853652395,512,K_H
object_support,24,mse_G,0.20302414855632228,0.32313043954063236,512,K_H
object_support,24,r2_P,-0.14918637561369177,0.013069202687083005,512,K_H
object_support,24,mse_P,0.17984011827513988,0.27637604999942783,512,K_H
object_support,24,delta_adapt,0.1422582927066525,0.0757533817420263,512,K_H
object_support,25,r2_G,-0.107108614143807,-0.334078990283929,512,K_H
object_support,25,mse_G,0.09611822078026114,0.29077733217175356,512,K_H
