pair,family,size_name,paper_model,approx_params_m,k,method,mknn,n,n_test,protocol,sae1_tag,sae2_tag
official_legacy_cross_dino_small,dinov2,small,DINOv2 Small,22.0,10,sae_codes_cosine,0.011565456209948123,16384,3277,heldout_query_full_gallery,F2048_k20_seed0,F2048_k20_seed0
official_legacy_cross_dino_small,dinov2,small,DINOv2 Small,22.0,10,sae_idf_cosine,0.01229783338419286,16384,3277,heldout_query_full_gallery,F2048_k20_seed0,F2048_k20_seed0
official_legacy_cross_dino_small,dinov2,small,DINOv2 Small,22.0,10,shared_side1_basis_cosine,0.015624046383887702,16384,3277,heldout_query_full_gallery,F2048_k20_seed0,F2048_k20_seed0
official_legacy_cross_dino_small,dinov2,small,DINOv2 Small,22.0,10,shared_side1_basis_idf,0.015685077815074763,16384,3277,heldout_query_full_gallery,F2048_k20_seed0,F2048_k20_seed0
official_legacy_cross_dino_small,dinov2,small,DINOv2 Small,22.0,10,shared_side2_basis_cosine,0.01315227342081172,16384,3277,heldout_query_full_gallery,F2048_k20_seed0,F2048_k20_seed0
official_legacy_cross_dino_small,dinov2,small,DINOv2 Small,22.0,10,shared_side2_basis_idf,0.013396399145559965,16384,3277,heldout_query_full_gallery,F2048_k20_seed0,F2048_k20_seed0
official_legacy_cross_dino_small,dinov2,small,DINOv2 Small,22.0,10,dense_cosine_test_subset,0.022886786695148,16384,3277,test_subset_mknn,F2048_k20_seed0,F2048_k20_seed0
official_legacy_cross_dino_small,dinov2,small,DINOv2 Small,22.0,10,shared_best_basis_idf,0.015685077815074763,16384,3277,heldout_query_full_gallery,F2048_k20_seed0,F2048_k20_seed0
official_legacy_cross_dino_base,dinov2,base,DINOv2 Base,86.0,10,dense_cosine,0.00999755859375,16384,3277,paper_full_catalog,F2048_k22_seed0,F2048_k22_seed0
official_legacy_cross_dino_base,dinov2,base,DINOv2 Base,86.0,10,dense_cosine_heldout,0.009398840402807446,16384,3277,heldout_query_full_gallery,F2048_k22_seed0,F2048_k22_seed0
official_legacy_cross_dino_base,dinov2,base,DINOv2 Base,86.0,10,sae_codes_cosine,0.012633506255721696,16384,3277,heldout_query_full_gallery,F2048_k22_seed0,F2048_k22_seed0
official_legacy_cross_dino_base,dinov2,base,DINOv2 Base,86.0,10,sae_idf_cosine,0.012847116264876413,16384,3277,heldout_query_full_gallery,F2048_k22_seed0,F2048_k22_seed0
official_legacy_cross_dino_base,dinov2,base,DINOv2 Base,86.0,10,shared_side1_basis_cosine,0.014525480622520598,16384,3277,heldout_query_full_gallery,F2048_k22_seed0,F2048_k22_seed0
official_legacy_cross_dino_base,dinov2,base,DINOv2 Base,86.0,10,shared_side1_basis_idf,0.014006713457430578,16384,3277,heldout_query_full_gallery,F2048_k22_seed0,F2048_k22_seed0
official_legacy_cross_dino_base,dinov2,base,DINOv2 Base,86.0,10,shared_side2_basis_cosine,0.013457430576747026,16384,3277,heldout_query_full_gallery,F2048_k22_seed0,F2048_k22_seed0
official_legacy_cross_dino_base,dinov2,base,DINOv2 Base,86.0,10,shared_side2_basis_idf,0.013854134879462923,16384,3277,heldout_query_full_gallery,F2048_k22_seed0,F2048_k22_seed0
official_legacy_cross_dino_base,dinov2,base,DINOv2 Base,86.0,10,dense_cosine_test_subset,0.019530057979859627,16384,3277,test_subset_mknn,F2048_k22_seed0,F2048_k22_seed0
official_legacy_cross_dino_base,dinov2,base,DINOv2 Base,86.0,10,shared_best_basis_idf,0.014006713457430578,16384,3277,heldout_query_full_gallery,F2048_k22_seed0,F2048_k22_seed0
official_legacy_cross_dino_large,dinov2,large,DINOv2 Large,300.0,10,dense_cosine,0.01168212890625,16384,3277,paper_full_catalog,F2048_k21_seed0,F2048_k21_seed0
official_legacy_cross_dino_large,dinov2,large,DINOv2 Large,300.0,10,dense_cosine_heldout,0.011351846200793408,16384,3277,heldout_query_full_gallery,F2048_k21_seed0,F2048_k21_seed0
official_legacy_cross_dino_large,dinov2,large,DINOv2 Large,300.0,10,sae_codes_cosine,0.013762587732682333,16384,3277,heldout_query_full_gallery,F2048_k21_seed0,F2048_k21_seed0
official_legacy_cross_dino_large,dinov2,large,DINOv2 Large,300.0,10,sae_idf_cosine,0.014861153494049437,16384,3277,heldout_query_full_gallery,F2048_k21_seed0,F2048_k21_seed0
official_legacy_cross_dino_large,dinov2,large,DINOv2 Large,300.0,10,shared_side1_basis_cosine,0.016325907842538907,16384,3277,heldout_query_full_gallery,F2048_k21_seed0,F2048_k21_seed0
official_legacy_cross_dino_large,dinov2,large,DINOv2 Large,300.0,10,shared_side1_basis_idf,0.01690570643881599,16384,3277,heldout_query_full_gallery,F2048_k21_seed0,F2048_k21_seed0
official_legacy_cross_dino_large,dinov2,large,DINOv2 Large,300.0,10,shared_side2_basis_cosine,0.015532499237107112,16384,3277,heldout_query_full_gallery,F2048_k21_seed0,F2048_k21_seed0
official_legacy_cross_dino_large,dinov2,large,DINOv2 Large,300.0,10,shared_side2_basis_idf,0.015654562099481233,16384,3277,heldout_query_full_gallery,F2048_k21_seed0,F2048_k21_seed0
