family,model,size_name,parameter_count,log10_params,embedding_dim,pca_rank,rank_label,raw_dense_mknn,raw_pca_mknn,raw_pca_minus_dense,pca_ridge_mknn,dense_raw_from_pca_sweep,dense_ridge_mknn,ridge_gain_after_pca,ridge_gain_full,I_pca_x_ridge
convnext,official_legacy_cross_convnext_tiny,tiny,28000000,7.447158031342219,768,128,128,0.018462007934086054,0.02145254806225206,0.0029905401281660055,0.042325297528227,0.018462007934086,0.0421116875190723,0.020872749465974942,0.023649679584986247,-0.0027769301190113047
convnext,official_legacy_cross_convnext_tiny,tiny,28000000,7.447158031342219,768,256,256,0.018462007934086054,0.02187976808056149,0.003417760146475435,0.0488861763808361,0.018462007934086,0.0421116875190723,0.027006408300274613,0.023649679584986247,0.0033567287152883665
convnext,official_legacy_cross_convnext_tiny,tiny,28000000,7.447158031342219,768,512,512,0.018462007934086054,0.022520598108025633,0.004058590173939579,0.0530363137015563,0.018462007934086,0.0421116875190723,0.030515715593530668,0.023649679584986247,0.006866036008544421
convnext,official_legacy_cross_convnext_tiny,tiny,28000000,7.447158031342219,768,768,full,0.018462007934086054,0.018462007934086054,0.0,0.0421116875190723,0.018462007934086,0.0421116875190723,0.023649679584986247,0.023649679584986247,0.0
convnext,official_legacy_cross_convnext_base,base,89000000,7.949390006644912,1024,8,8,0.019743667989014342,0.012450411962160512,-0.00729325602685383,0.0141592920353982,0.0197436679890143,0.0454379005187671,0.001708880073237688,0.02569423252975276,-0.02398535245651507
convnext,official_legacy_cross_convnext_base,base,89000000,7.949390006644912,1024,16,16,0.019743667989014342,0.01742447360390601,-0.0023191943851083308,0.0227036924015868,0.0197436679890143,0.0454379005187671,0.005279218797680788,0.02569423252975276,-0.02041501373207197
convnext,official_legacy_cross_convnext_base,base,89000000,7.949390006644912,1024,32,32,0.019743667989014342,0.02014037229173024,0.0003967043027158987,0.0306377784559047,0.0197436679890143,0.0454379005187671,0.01049740616417446,0.02569423252975276,-0.0151968263655783
convnext,official_legacy_cross_convnext_base,base,89000000,7.949390006644912,1024,64,64,0.019743667989014342,0.02145254806225206,0.0017088800732377174,0.0365273115654562,0.0197436679890143,0.0454379005187671,0.015074763503204143,0.02569423252975276,-0.010619469026548617
convnext,official_legacy_cross_convnext_base,base,89000000,7.949390006644912,1024,128,128,0.019743667989014342,0.022245956667683857,0.0025022886786695148,0.0434238632895941,0.0197436679890143,0.0454379005187671,0.021177906621910242,0.02569423252975276,-0.004516325907842518
convnext,official_legacy_cross_convnext_base,base,89000000,7.949390006644912,1024,256,256,0.019743667989014342,0.023008849557522124,0.0032651815685077815,0.0485810192249008,0.0197436679890143,0.0454379005187671,0.02557216966737868,0.02569423252975276,-0.00012206286237408104
convnext,official_legacy_cross_convnext_base,base,89000000,7.949390006644912,1024,512,512,0.019743667989014342,0.023130912419896246,0.003387244430881904,0.0536466280134269,0.0197436679890143,0.0454379005187671,0.030515715593530654,0.02569423252975276,0.004821483063777894
convnext,official_legacy_cross_convnext_base,base,89000000,7.949390006644912,1024,1024,full,0.019743667989014342,0.019743667989014342,0.0,0.0454379005187671,0.0197436679890143,0.0454379005187671,0.02569423252975276,0.02569423252975276,0.0
convnext,official_legacy_cross_convnext_large,large,198000000,8.296665190261532,1536,8,8,0.02108635947512969,0.011748550503509307,-0.009337808971620384,0.0141592920353982,0.0210863594751296,0.0472383277387854,0.0024107415318888933,0.026151968263655706,-0.02374122673176681
convnext,official_legacy_cross_convnext_large,large,198000000,8.296665190261532,1536,16,16,0.02108635947512969,0.017119316447970705,-0.003967043027158987,0.0227647238327738,0.0210863594751296,0.0472383277387854,0.005645407384803094,0.026151968263655706,-0.020506560878852612
convnext,official_legacy_cross_convnext_large,large,198000000,8.296665190261532,1536,32,32,0.02108635947512969,0.020872749465974977,-0.00021361000915471468,0.0301190112908147,0.0210863594751296,0.0472383277387854,0.009246261824839723,0.026151968263655706,-0.016905706438815983
convnext,official_legacy_cross_convnext_large,large,198000000,8.296665190261532,1536,64,64,0.02108635947512969,0.022703692401586817,0.0016173329264571254,0.035825450106805,0.0210863594751296,0.0472383277387854,0.01312175770521818,0.026151968263655706,-0.013030210558437526
